"id","product_title","rating","total_rating","price","final_price","ram_gb","storage_gb","bought_in_last_month","brand","screen_size_in_inches","cpu_model","special_features","graphics_card","os"
0,"Lenovo Yoga Slim 7, Intel Core Ultra 5 125H, 16GB RAM, 512GB SSD, WUXGA-OLED 14""(35.5cm), Windows 11, Microsoft 365 Basic + Office Home 2024, Grey, 1.39Kg, 83CV00DFIN, 400Nits, 1Yr ADP Free, AI PC","4.3","(63)","85990","81990",16,512,NULL,"Lenovo","14","Intel Core Ultra 5","Anti Glare Coating, Backlit Keyboard, HD Audio","Integrated","Windows 11 Home"
1,"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty","4.0","(313)","38000","39999",16,512,500,"Lenovo","156","Ryzen 5","HD Audio","Integrated","Windows 11"
2,"BrowseBook 14.1"" FHD IPS Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB RAM | 128GB SSD | Windows 11 | 38Wh | 1.3kg | Grey","3.1","(62)","16990","12090",4,128,200,"Neopticon","141","Celeron N4020","HD Audio, Memory Card Slot","Integrated","Windows 11 Home"
3,"acer Aspire Lite, AMD Ryzen 3-7330U, 16GB RAM, 512GB SSD, Full HD IPS, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.6 KG, AL15-41, Metal Body, Premium Thin and Light Laptop","3.9","(2,071)","24490","30990",16,512,400,"acer","156","Ryzen 3","Lightweight","Integrated","Windows 11 Home"
4,"ASUS Gaming V16 (2025) 14th Gen,Intel Core 7 240H Gaming Laptop (RTX 4050-6GB/16GB RAM/512GB SSD/Windows 11 Home/16/144Hz/M365*/Office Home 2024, Matte Black,1.95 Kg),V3607VU-RP275WS","4.0","(48)","99990","94990",16,512,50,"ASUS","16","Intel Core 7","Anti-glare display, Backlit Keyboard, Precision touchpad","Integrated","Windows 11 Home"
5,"ASUS TUF Gaming A15, AMD Ryzen 7 7435HS Gaming Laptop(NVIDIA RTX 3050-4GB/60W TGP/16GB RAM/512GB SSD/FHD/15.6""/144Hz/RGB KB/48WHr/Windows 11//Graphite Black/2.30 Kg) FA506NCR-HN054W","4.2","(614)","71800","67990",16,512,100,"ASUS","156","AMD Ryzen 7","Anti-glare display","Dedicated","Windows 11 Home"
6,"HP 14s Intel Celeron Dual Core N4500 Laptop (8GB/512GB SSD/Win 11) 14.0"" HD Display, MSO 24, Black, 1.46kg, DQ3149TU Thin and Light Business Laptop","4.1","(10)","36990","26490",8,512,200,"HP","14","Celeron","Anti Glare Coating, Lightweight","Integrated","Windows 11 Home"
7,"HP Victus, 13th Gen Intel Core i7-13620H, 8GB RTX 5060, 24GB DDR5(Upgradeable) 1TB SSD, 144Hz, 300nits, IPS, FHD, 15.6""/39.6cm, Win11, M365* Office 24, Mica Silver, 2.29Kg, fa2308TX, RGB Laptop","3.6","(5)","103990","110990",24,1,50,"HP","396","Core i7","Anti Glare Coating, RGB Backlit","Dedicated","Windows 11 Home"
8,"HP 15, 13th Gen Intel Core i5-1334U (16GB DDR4, 1TB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr)* Office24, Silver, 1.59kg, FD0552TU, Iris Xe, FHD Camera w/Shutter, Backlit Laptop","3.9","(766)","58490","56990",16,1,200,"HP","396","Core i5","Anti Glare Coating, Backlit Keyboard","Integrated","Windows 11 Home"
9,"acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","3.4","(818)","26980","24490",8,512,200,"acer","156","Others","Thin","Integrated","Windows 11 Home"
10,"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg), 83A0A0PBIN","3.8","(56)","41890","35990",8,512,50,"Lenovo","14","Core i3","Anti Glare Coating, HD Audio, Lightweight, Spill Resistant","Integrated","Windows 11 Home"
11,"Lenovo ThinkBook 16, AMD Ryzen 7 7735HS, 16GB RAM, 512GB SSD, WUXGA IPS 16"", Windows 11 Home, 1.7kg, 21MWA0AUIN, Backlit Keyboard, Fingerprint, 300 Nits, 1Y Warranty, Aluminium Top Laptop","3.5","(70)","49990","52990",16,512,200,"Lenovo","16","Ryzen 7","Anti Glare Coating, Backlit Keyboard, Fingerprint Reader, HD Audio, Lightweight","Integrated","Windows 11 Home"
12,"ASUS TUF A16 (2025), AMD Ryzen 7 7445HS, Gaming Laptop (RTX 4050-6GB/140W TGP/16GB RAM/1TB SSD/FHD+/16""/144Hz/56Whrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Mecha Gray/2.2Kg) FA607NUG-RL189WS","4.0","(60)","86990","99990",16,1,50,"ASUS","16","Ryzen 7","144Hz Refresh Rate, 300nits Brightness, Anti-glare display","Dedicated","Windows 11 Home"
13,"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop","4.1","(964)","40990","38490",12,512,500,"HP","396","Core i3 Family","Anti Glare Coating","Integrated","Windows 11 Home"
14,"Dell 15, AMD Ryzen 5-7530U Processor, 16GB RAM, 512GB SSD, FHD IPS 15.6""/39.62 cm 120Hz Display, Windows 11, MSO'24, Platinum Silver, 1.67kg, Standard Keyboard, 15 Month McAfee, Thin & Light Laptop","4.2","(100)","42990","42990",16,512,200,"Dell","156","Ryzen 5","LED-Backlit","Integrated","Windows 11 Home"
15,"HP Smartchoice Victus, AMD Ryzen 5 8645HS, 6GB RTX 3050, 31 Tops, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, 300nits, FHD, 15.6""/39.6cm, Win11, M365* Office24, Blue, 2.3kg, fb3009AX, AI Gaming Laptop","3.8","(347)","65990","64990",16,512,300,"HP","396","Ryzen 5","Anti Glare Coating, Micro Edge Display","Dedicated","Windows 11 Home"
16,"Lenovo IdeaPad Slim 3 13th Gen Core i7-13620H 15.3"" (38.8cm) WUXGA IPS Laptop (24GB RAM/1TB SSD/Win 11/Office 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg),83K100TEIN","5.0","(1)","72390","74390",24,1,NULL,"Lenovo","153","Intel Core i7","Anti Glare Coating, Backlit Keyboard, HD Audio","Integrated","Windows 11 Home"
17,"ASUS TUF A15 (2025), AMD Ryzen 7 7445HS, Gaming Laptop(RTX 3050,75W TGP,16GB DDR5(Upgradeable Upto 64GB )512GB SSD,FHD,15.6"",144Hz,RGB Keyboard,48Whrs,Windows 11,Graphite Black,2.3 Kg) FA506NCG-HN199W","4.2","(614)","99990","70990",16,512,200,"ASUS","156","AMD Ryzen 7","720P HD camera, Anti-glare display, Backlit Keyboard","Dedicated","Windows 11 Home"
18,"Acer Aspire 3, Intel Core Celeron N4500, 12GB LPDDR4 RAM, 512GB SSD, HD, 14""/35.56cm, Windows 11 Home, Silver, 1.3KG, A324-45, Thin and Light Laptop","3.4","(818)","26490","25990",12,512,100,"acer","14","Others","Thin","Integrated","Windows 11 Home"
